com,name_com,p90_tmax,p95_tmax,p99_tmax,Comúna crítica,Partos Pretérmino,Partos Totales,%
6102,Codegua,26.7,27.5,29.1,0,226,4845,4.7
6108,Machali,19.5,20.4,21.9,0,848,16339,5.2
6110,Mostazal,26.3,27.1,28.7,0,491,9704,5.1
6115,Rengo,26.5,27.2,28.7,0,1128,23931,4.7
6116,Requinoa,27.5,28.2,29.7,0,496,10306,4.8
6201,Pichilemu,26.3,27.0,28.5,0,255,4960,5.1
6203,Litueche,27.9,28.7,30.3,0,115,2029,5.7
6205,Navidad,25.1,25.8,27.4,0,74,1568,4.7
6206,Paredones,28.8,29.7,31.3,0,80,2082,3.8
6301,San Fernando,21.5,22.3,23.7,0,1726,30899,5.6
7102,Constitucion,26.2,27.0,28.5,0,914,21981,4.2
7104,Empedrado,27.8,28.7,30.3,0,69,1578,4.4
7109,San Clemente,23.9,24.9,26.4,0,791,16309,4.9
7202,Chanco,23.8,24.5,25.9,0,141,3650,3.9
7203,Pelluhue,22.0,22.8,24.2,0,96,2243,4.3
7301,Curico,25.2,26.0,27.5,0,3019,58707,5.1
7303,Licanten,26.5,27.2,28.8,0,123,2555,4.8
7304,Molina,24.5,25.3,26.9,0,818,16738,4.9
7306,Romeral,23.6,24.5,26.0,0,286,5193,5.5
7309,Vichuquen,27.2,28.0,29.6,0,65,1561,4.2
7401,Linares,27.4,28.3,29.8,0,1853,37702,4.9
7402,Colbun,24.8,26.0,27.8,0,400,7421,5.4
7403,Longavi,28.6,29.4,31.0,0,616,11216,5.5
8101,Concepcion,27.8,29.0,31.1,0,5512,97323,5.7
8102,Coronel,25.6,26.7,28.5,0,2395,44369,5.4
8103,Chiguayante,27.2,28.5,30.6,0,1658,25612,6.5
8106,Lota,26.5,27.6,29.8,0,978,21018,4.7
8107,Penco,27.3,28.4,30.6,0,971,18659,5.2
8108,San Pedro de la Paz,25.4,26.4,28.4,0,2627,38493,6.8
8110,Talcahuano,24.4,25.3,27.3,0,4521,86363,5.2
8111,Tome,26.6,27.7,29.6,0,914,20613,4.4
8112,Hualpen,24.2,25.2,27.1,0,1143,18423,6.2
8201,Lebu,20.1,20.7,22.2,0,518,11152,4.6
8202,Arauco,23.4,24.2,26.0,0,898,15037,6.0
8203,Canete,23.8,24.9,27.2,0,704,14260,4.9
8204,Contulmo,25.4,26.6,29.5,0,134,2327,5.8
8205,Curanilahue,25.6,26.7,28.9,0,761,14791,5.1
8206,Los Alamos,23.3,24.3,26.4,0,422,8540,4.9
8207,Tirua,22.1,23.0,25.6,0,227,4531,5.0
8302,Antuco,24.4,25.7,27.9,0,70,1523,4.6
8305,Mulchen,28.1,29.4,31.8,0,606,12502,4.8
8308,Quilaco,26.2,27.7,29.8,0,60,1230,4.9
8309,Quilleco,27.8,29.0,31.2,0,160,3478,4.6
8311,Santa Barbara,26.5,27.8,30.1,0,297,6804,4.4
8312,Tucapel,26.5,27.6,29.7,0,202,5030,4.0
8314,Alto Biobio,24.7,26.1,28.6,0,104,2545,4.1
16104,El Carmen,28.4,29.4,31.5,0,236,4945,4.8
16106,Pinto,24.9,26.1,28.0,0,182,3818,4.8
16109,Yungay,28.6,29.7,31.8,0,294,6443,4.6
16201,Quirihue,28.5,29.5,31.2,0,168,4244,4.0
16202,Cobquecura,23.6,24.5,26.2,0,63,1578,4.0
16203,Coelemu,27.9,28.9,30.9,0,290,6495,4.5
16207,Treguaco,28.5,29.5,31.3,0,80,1656,4.8
16302,Coihueco,26.9,27.9,29.9,0,476,9791,4.9
16304,San Fabian,25.6,26.9,28.9,0,65,1287,5.1
6101,Rancagua,30.7,31.5,33.1,1,5111,102101,5.0
6103,Coinco,32.2,33.0,34.4,1,130,2560,5.1
6104,Coltauco,30.7,31.5,33.0,1,339,7141,4.7
6105,Donihue,30.6,31.4,32.9,1,394,7963,4.9
6106,Graneros,31.4,32.2,33.8,1,669,13567,4.9
6107,Las Cabras,31.4,32.2,33.8,1,382,8298,4.6
6109,Malloa,30.1,30.9,32.2,1,212,4994,4.2
6111,Olivar,32.0,32.8,34.2,1,260,5704,4.6
6112,Peumo,31.6,32.4,33.9,1,233,5712,4.1
6113,Pichidegua,32.6,33.4,34.9,1,319,6678,4.8
6114,Quinta de Tilcoco,32.3,33.1,34.5,1,206,4608,4.5
6117,San Vicente,32.2,32.9,34.3,1,743,16418,4.5
6202,La Estrella,31.8,32.5,34.2,1,49,927,5.3
6204,Marchihue,31.5,32.3,33.9,1,104,2410,4.3
6302,Chepica,32.0,32.7,34.1,1,280,5213,5.4
6303,Chimbarongo,31.4,32.1,33.4,1,721,13510,5.3
6304,Lolol,31.6,32.4,33.8,1,110,2152,5.1
6305,Nancagua,32.3,33.0,34.3,1,389,6642,5.9
6306,Palmilla,32.8,33.5,35.0,1,217,4047,5.4
6307,Peralillo,32.8,33.6,35.2,1,192,3632,5.3
6308,Placilla,31.9,32.6,34.0,1,169,2788,6.1
6309,Pumanque,31.7,32.5,34.0,1,50,911,5.5
6310,Santa Cruz,32.1,32.8,34.3,1,734,13614,5.4
7101,Talca,32.7,33.4,34.6,1,4626,90964,5.1
7103,Curepto,29.9,30.8,32.4,1,153,3435,4.5
